date,close,high,low,open,volume
2007-04-11,31.85508918762207,31.867300330414047,31.855089187622067,31.855089187622067,1900
2007-04-12,31.876447677612305,31.876447677612305,31.855078766976025,31.876447677612305,6100
2007-04-13,31.818439483642578,31.897808371826425,31.818439483642575,31.867281697214484,3400
2007-04-16,31.806211471557617,31.83063140086832,31.79400034238489,31.83063140086832,7600
2007-04-17,31.79096794128418,31.870339168728123,31.790967941284176,31.794021307849484,28100
2007-04-18,31.80011558532715,31.83064225415026,31.794011183176746,31.806222316513097,6300
2007-04-19,31.910017013549805,31.922228148247417,31.766539092147625,31.809276899071364,47500
2007-04-20,31.891704559326172,31.913073464853998,31.885597826869066,31.913073464853998,4900
2007-04-23,31.910017013549805,31.94970378357599,31.885594744154584,31.92833255107832,1700
2007-04-24,32.12981033325195,32.14812586938569,31.876434547902416,31.928330119638407,398500
2007-04-25,32.17863464355469,32.17863464355469,32.138947901494504,32.138947901494504,16300
2007-04-26,32.23664855957031,32.23664855957031,32.14201520260904,32.18475299794866,48200
2007-04-27,32.23664855957031,32.23664855957031,32.2091752607242,32.2091752607242,8300
2007-04-30,32.239715576171875,32.24581997993301,32.154239949299075,32.22445107321481,15500
2007-05-01,32.24367904663086,32.274290635434255,32.2253102249372,32.2253102249372,8600
2007-05-02,32.23145294189453,32.262064548741044,32.20390086087154,32.24981943889926,4700
2007-05-03,32.234535217285156,32.28963707871112,32.203921255535,32.255963589199844,17200
2007-05-04,32.27431869506836,32.27738055726507,32.206971739840014,32.24982846852777,4600
2007-05-07,32.27125930786133,32.27125930786133,32.23452630074982,32.24064769009616,4200
2007-05-08,32.29574966430664,32.311056641008264,32.28044268760501,32.30799477856459,16100
2007-05-09,32.21002197265625,32.32634700345024,32.19165547714028,32.323285142359005,9400
2007-05-10,32.326324462890625,32.390609487887446,32.298774738826594,32.356936045910906,17400
2007-05-11,32.34468460083008,32.381417556390836,32.314070690511514,32.338560884560984,12200
2007-05-14,32.3416633605957,32.35696799946263,32.31105174734546,32.35390847299907,11600
2007-05-15,32.317142486572266,32.42734605817041,32.317142486572266,32.356937312504975,39400
2007-05-16,32.402862548828125,32.4059244085366,32.39367930521733,32.396741164925814,78100
2007-05-17,32.39370346069336,32.42737693605246,32.35390859686733,32.41513182360221,14500
2007-05-18,32.402862548828125,32.43347413936896,32.402862548828125,32.43347413936896,5200
2007-05-21,32.43349075317383,32.436552614450726,32.40287914695243,32.43043122741278,14600
2007-05-22,32.436553955078125,32.47634881125911,32.36614749141054,32.473289285371614,10200
2007-05-23,32.412052154541016,32.48246092856854,32.35695034654581,32.42429726026385,22500
