date,close,high,low,open,volume
2002-07-30,36.10947036743164,36.27779440595531,36.10947036743164,36.211350884404276,6100
2002-07-31,36.556888580322266,36.67648771094822,36.2778295746303,36.299975183643916,29400
2002-08-01,36.76507568359375,36.77393325101248,36.56131783835254,36.56131783835254,25000
2002-08-02,37.141578674316406,37.252316835766045,36.711914067178135,36.83594364674854,52800
2002-08-05,37.30548095703125,37.402931102252175,37.14158722375412,37.22574932725606,61100
2002-08-06,36.98654556274414,37.16372729522423,36.86251936384622,37.1504392566938,64900
2002-08-07,37.07514572143555,37.27004602284191,36.92454340086624,37.03085112005996,40300
2002-08-08,37.07514572143555,37.10615228034461,36.92454340086624,37.02199355156942,40900
2002-08-09,37.5977897644043,37.5977897644043,37.20799295952835,37.20799295952835,35900
2002-08-12,37.828155517578125,38.4039919125505,37.71298688679949,37.78386093018954,32100
2002-08-13,38.29322052001953,38.30208145748316,37.814834660164905,37.996443324679746,75400
2002-08-14,38.43939971923828,38.9355075075318,38.426111691067014,38.740607415799026,130000
2002-08-15,38.10280227661133,38.31542112937927,38.027501103959736,38.26226557132178,87100
2002-08-16,37.67753982543945,38.324250091477616,37.57123216814181,38.288816458684735,85000
2002-08-19,37.7927131652832,37.801570729727416,37.52251182702578,37.67311745825677,47300
2002-08-20,38.21353530883789,38.22239625704421,37.91675775369577,37.92561870190209,40800
2002-08-21,38.009769439697266,38.1382261259822,37.93003781991561,37.95218680631196,40000
2002-08-22,37.67753982543945,37.89458899089065,37.67753982543945,37.89458899089065,34400
2002-08-23,38.04961013793945,38.07175572927604,37.739541444101,37.739541444101,20100
2002-08-26,38.085079193115234,38.186956433815496,37.94776154163996,37.96104958351727,23900
2002-08-27,37.84587478637695,37.952182474130694,37.73956371916275,37.828156275174585,301800
2002-08-28,38.03634262084961,38.173656851351,38.02305120352922,38.11164375503035,18100
2002-08-29,38.341983795166016,38.47487095405499,38.248964135728066,38.430576360912276,135700
2002-08-30,38.57234573364258,38.59449135463415,38.29328319755223,38.42617044135363,78100
2002-09-03,39.165313720703125,39.165313720703125,38.70266081630881,38.738250284492636,102100
2002-09-04,39.15642547607422,39.280988649136006,39.076350847534215,39.16087500932628,66300
2002-09-05,39.36995315551758,39.436682568479256,38.871710718602486,39.40109309569984,648400
